# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
NestÂ® Learning Thermostat 3rd Gen-USA - Copper,2018,"$4,619.00",24,31,$149.00,1.29,$0.00,64.44%,26.67%
1 oz Hand Sanitizer,2017,"$4,617.80",129,"2,420",$1.91,18.76,$0.00,43.39%,14.58%
SPF-15 Slim & Slender Lip Balm,2017,"$4,609.34",122,"2,473",$1.86,20.27,$0.00,52.65%,22.30%
Google Mesh Bag Red,2018,"$4,592.85",125,915,$5.02,7.32,$0.00,43.49%,12.33%
Google Baby Essentials Set,2016,"$4,588.39",138,161,$28.50,1.17,$0.00,72.34%,26.69%
Google Men's Lightweight Microfleece Jacket Black,2017,"$4,585.56",75,82,$55.92,1.09,$0.00,15.09%,1.95%
Google See-No Hear-No Set,2018,"$4,572.38",146,442,$10.34,3.03,$0.00,7.96%,1.45%
Google Water Resistant Bluetooth Speaker,2016,"$4,541.53",71,147,$30.89,2.07,$0.00,26.13%,6.44%
Google Women's Short Sleeve Hero Tee White,2016,"$4,539.53",167,307,$14.79,1.84,$0.00,46.93%,8.46%
Google Bluetooth Headphones,2016,"$4,539.01",42,99,$45.85,2.36,$0.00,20.69%,6.03%
YouTube Icon Pullover Black,2018,"$4,535.13",81,87,$52.13,1.07,$0.00,33.21%,2.98%
Google Flyers,2016,"$4,519.80",223,"2,511",$1.80,11.26,$0.00,38.57%,18.74%
Google 16 oz Tumbler Blue,2018,"$4,519.78",69,422,$10.71,6.12,$0.00,30.92%,5.27%
Google Tri Pen Silver,2018,"$4,505.64",69,316,$14.26,4.58,$0.00,19.22%,3.88%
Google Snapback Navy Cap,2018,"$4,501.34",128,266,$16.92,2.08,$0.00,15.29%,3.76%
Google G Noise-reducing Bluetooth Headphones,2017,"$4,495.66",28,34,$132.23,1.21,$0.00,14.21%,1.40%
Metal Texture Roller Pen,2017,"$4,494.97",64,464,$9.69,7.25,$0.00,41.06%,16.12%
Google Women's Performance Polo Grey/Black,2017,"$4,472.29",6,71,$62.99,11.83,$0.00,42.86%,85.71%
Google Rolltop Backpack Reflective,2018,"$4,439.64",13,36,$123.32,2.77,$0.00,3.60%,0.26%
Hello Doorbell - USA,2018,"$4,394.00",24,26,$169.00,1.08,$0.00,35.29%,141.18%
