# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Google Utility Bag Grey,2018,"$4,187.13",98,487,$8.60,4.97,$0.00,21.03%,3.50%
Mens Vintage Heather T-shirt,2015,"$4,180.70",132,264,$15.84,2.00,$0.00,26.41%,3.81%
x Yale Lock Satin Nickel- USA,2018,"$4,180.00",17,20,$209.00,1.18,$0.00,30.91%,30.91%
Rocket Flashlight,2016,"$4,176.35",75,865,$4.83,11.53,$0.00,27.67%,11.59%
Google Women's Short Sleeve Hero Tee White,2017,"$4,154.15",214,317,$13.10,1.48,$0.00,38.48%,8.81%
Google Men's Short Sleeve Hero Tee Charcoal,2017,"$4,141.78",233,308,$13.45,1.32,$0.00,30.02%,18.51%
Window Pad Notebook,2015,"$4,135.95",39,465,$8.89,11.92,$0.00,13.43%,2.93%
22 oz YouTube Bottle Infuser,2017,"$4,128.22",129,"1,078",$3.83,8.36,$0.00,31.64%,3.44%
Organic Basic T-Shirt,2015,"$4,119.35",130,217,$18.98,1.67,$0.00,17.88%,2.37%
Wind Up Android,2015,"$4,112.50",113,"1,175",$3.50,10.40,$0.00,23.08%,4.73%
Google Phone Stand Bamboo,2018,"$4,106.12",162,988,$4.16,6.10,$0.00,51.13%,14.09%
22 oz Mini Mountain Bottle,2016,"$4,103.40",98,"1,500",$2.74,15.31,$0.00,178.92%,25.19%
Zoom Energy Mini,2015,"$4,062.25",37,195,$20.83,5.27,$0.00,6.12%,1.94%
Google Stylus Pen w/ LED Light,2018,"$4,061.20",107,882,$4.60,8.24,$0.00,30.54%,7.48%
Google Women's Lightweight Microfleece Jacket,2016,"$4,019.36",63,64,$62.80,1.02,$0.00,22.14%,9.12%
YouTube Organic Cotton T-Shirt - Grey,2016,"$4,016.05",180,269,$14.93,1.49,$0.00,17.99%,3.01%
The Google Hat,2016,"$4,015.20",53,168,$23.90,3.17,$0.00,11.44%,3.26%
Google Women's Short Sleeve Hero Tee Black,2017,"$4,008.50",160,286,$14.02,1.79,$0.00,57.25%,6.88%
YouTube Twill Cap,2016,"$3,971.18",79,422,$9.41,5.34,$0.00,32.92%,9.74%
Google Thermal Bottle Blue,2017,"$3,948.40",43,200,$19.74,4.65,$0.00,35.31%,12.15%
Men's Softshell Jacket Black/Grey,2017,"$3,934.81",55,56,$70.26,1.02,$0.00,9.52%,261.90%
Electronics Accessory Pouch,2017,"$3,927.87",85,813,$4.83,9.56,$0.00,20.87%,5.93%
Bella Scoop-Neck Ladies T-Shirt,2016,"$3,910.70",186,295,$13.26,1.59,$0.00,30.56%,10.45%
Organic Cotton T-Shirt - Red,2015,"$3,908.45",157,270,$14.48,1.72,$0.00,25.81%,6.54%
Google Men's Short Sleeve Badge Tee Charcoal,2017,"$3,907.86",215,309,$12.65,1.44,$0.00,25.93%,11.94%
20 oz Stainless Steel Insulated Tumbler,2016,"$3,878.21",92,179,$21.67,1.95,$0.00,24.78%,5.82%
Google Women's Tee Grey,2017,"$3,870.78",246,291,$13.30,1.18,$0.00,54.22%,23.61%
Latitudes Foldaway Shopper - Royal Blue,2016,"$3,863.70",86,729,$5.30,8.48,$0.00,19.93%,7.00%
YouTube S/S Triblend T-Shirt,2016,"$3,863.30",147,252,$15.33,1.71,$0.00,19.43%,3.05%
Foam Can and Bottle Cooler,2016,"$3,860.54",166,"2,186",$1.77,13.17,$0.00,52.75%,25.38%
YouTube Youth Short Sleeve Tee Red,2017,"$3,858.65",116,215,$17.95,1.85,$0.00,50.77%,17.85%
Google Rolltop Backpack Blue,2017,"$3,839.71",28,29,$132.40,1.04,$0.00,9.00%,1.05%
Google Tonal Tee Slate Grey,2018,"$3,839.14",177,206,$18.64,1.16,$0.00,37.07%,7.27%
"7"" Android Squishable - Online",2016,"$3,820.80",81,192,$19.90,2.37,$0.00,19.04%,7.79%
Short Sleeve Crew Neck Raglan,2015,"$3,801.30",182,293,$12.97,1.61,$0.00,25.80%,5.08%
Nest Connect -USA,2018,"$3,773.00",71,77,$49.00,1.08,$0.00,6.06%,2.33%
Color Pop Gift Bag - Large,2016,"$3,751.80",90,"1,443",$2.60,16.03,$0.00,25.00%,6.45%
Satin Black Ballpoint Pen,2017,"$3,750.90",78,319,$11.76,4.09,$0.00,58.21%,22.48%
Compact Eco Journal - Blue,2016,"$3,739.50",55,"1,385",$2.70,25.18,$0.00,19.59%,6.69%
Android Monkey Mat,2016,"$3,698.52",49,148,$24.99,3.02,$0.00,3.98%,1.13%
Red Inspirale Notebook,2015,"$3,697.05",61,503,$7.35,8.25,$0.00,20.45%,7.17%
Doodle Book,2015,"$3,695.20",21,124,$29.80,5.90,$0.00,3.72%,0.90%
Red Spiral Google Notebook,2016,"$3,677.85",89,415,$8.86,4.66,$0.00,40.33%,14.83%
Google Men's Performance 1/4 Zip Pullover Heather/Black,2016,"$3,673.60",31,40,$91.84,1.29,$0.00,19.79%,7.97%
Google Men's Performance 1/4 Zip Pullover Heather/Black,2017,"$3,668.34",92,102,$35.96,1.11,$0.00,14.31%,4.37%
Compact Bluetooth Speaker,2016,"$3,663.48",25,52,$70.45,2.08,$0.00,17.24%,5.39%
8 pc Android Sticker Sheet,2017,"$3,660.76",256,"2,064",$1.77,8.06,$0.00,47.34%,12.99%
Google Men's Airflow 1/4 Zip Pullover Lapis,2017,"$3,640.90",98,115,$31.66,1.17,$0.00,18.75%,7.18%
YouTube Men's Short Sleeve Hero Tee Black,2017,"$3,594.87",184,240,$14.98,1.30,$0.00,37.02%,4.61%
Lip Balm,2016,"$3,594.50",198,"4,048",$0.89,20.44,$0.00,31.71%,8.83%
Rubber Grip Ballpoint Pen 4 Pack,2017,"$3,566.07",105,843,$4.23,8.03,$0.00,65.81%,20.75%
Compact Selfie Stick,2016,"$3,535.90",89,470,$7.52,5.28,$0.00,37.89%,12.18%
Ballpoint Stick Pen 4 Pack,2017,"$3,527.10",111,961,$3.67,8.66,$0.00,78.99%,80.43%
Google Light Pen Red,2018,"$3,517.10",230,"1,390",$2.53,6.04,$0.00,49.67%,12.71%
Ladies Ringspun Crew Neck,2015,"$3,509.95",102,177,$19.83,1.74,$0.00,20.50%,4.90%
Domeable Rotate Flash Drive 8GB,2016,"$3,504.50",75,326,$10.75,4.35,$0.00,15.29%,4.04%
Google 2200mAh Micro Charger,2017,"$3,480.46",31,174,$20.00,5.61,$0.00,15.27%,3.82%
Android 17oz Stainless Steel Sport Bottle,2017,"$3,479.88",86,282,$12.34,3.28,$0.00,31.73%,10.62%
Reusable Shopping Bag,2017,"$3,478.40",64,"1,098",$3.17,17.16,$0.00,51.47%,23.53%
Blue Inspirale Notebook,2016,"$3,474.30",46,462,$7.52,10.04,$0.00,22.83%,9.06%
Ladies Modern Stretch Full Zip,2016,"$3,467.85",64,83,$41.78,1.30,$0.00,8.37%,2.56%
Google Laptop Tech Backpack,2016,"$3,455.23",34,77,$44.87,2.26,$0.00,8.98%,2.48%
YouTube 25 oz Gear Cap Bottle Black,2018,"$3,443.63",51,157,$21.93,3.08,$0.00,21.08%,2.31%
Google Men's Short Sleeve Performance Badge Tee Black,2017,"$3,440.24",143,220,$15.64,1.54,$0.00,31.27%,13.43%
YouTube Women's Fleece Hoodie Black,2017,"$3,435.75",76,97,$35.42,1.28,$0.00,26.72%,8.06%
"15"" Android Squishable - Online",2016,"$3,435.70",64,94,$36.55,1.47,$0.00,13.51%,3.46%
Cookie Monster 3D Mug,2016,"$3,424.65",118,237,$14.45,2.01,$0.00,17.48%,5.84%
Classic Flex Notebook,2015,"$3,410.35",49,357,$9.55,7.29,$0.00,14.46%,2.80%
Commuter Backpack,2016,"$3,409.10",53,146,$23.35,2.75,$0.00,11.46%,1.60%
Tri-Blend G Logo Mens Polo,2016,"$3,400.80",95,104,$32.70,1.09,$0.00,12.52%,3.80%
Laptop and Cell Phone Stickers,2015,"$3,394.75",189,"2,031",$1.67,10.75,$0.00,36.81%,5.31%
Android 24 oz Contigo Bottle,2017,"$3,393.80",46,220,$15.43,4.78,$0.00,232.14%,164.29%
Quatro Retractable Pen,2016,"$3,378.41",139,"1,585",$2.13,11.40,$0.00,34.64%,9.42%
Android Men's  Zip Hoodie,2016,"$3,359.31",57,69,$48.69,1.21,$0.00,19.87%,4.50%
Google Twill Cap Charcoal,2018,"$3,343.29",146,291,$11.49,1.99,$0.00,41.34%,7.33%
Google Tote Bag,2017,"$3,342.15",72,385,$8.68,5.35,$0.00,28.94%,7.83%
Protect Smoke + CO White Battery Alarm-USA,2018,"$3,318.00",18,42,$79.00,2.33,$0.00,52.93%,1.37%
Google 16 oz Glass Bottle Navy,2018,"$3,317.95",60,205,$16.19,3.42,$0.00,34.58%,12.50%
Compact Eco Journal,2015,"$3,313.05",59,"1,267",$2.61,21.47,$0.00,23.52%,5.20%
Google 25 oz Blue Stainless Steel Bottle,2017,"$3,306.86",47,274,$12.07,5.83,$0.00,61.88%,25.97%
Google Crewneck Sweatshirt Navy,2017,"$3,306.45",70,75,$44.09,1.07,$0.00,19.17%,3.53%
Nest Tag - USA,2018,"$3,300.00",102,165,$20.00,1.62,$0.00,9.63%,6.87%
Colored Pencil Set,2017,"$3,298.37",156,"1,183",$2.79,7.58,$0.00,59.48%,22.58%
Bluetooth Vibe Stereo Headset,2016,"$3,289.00",17,46,$71.50,2.71,$0.00,5.55%,0.60%
Google Infant Zip Hood Pink,2017,"$3,288.12",46,116,$28.35,2.52,$0.00,38.92%,12.43%
Micro Wireless Earbud,2017,"$3,287.12",35,88,$37.35,2.51,$0.00,10.82%,1.34%
Google G Noise-reducing Bluetooth Headphones,2016,"$3,285.75",24,25,$131.43,1.04,$0.00,10.84%,1.84%
Google Infuser-Top Water Bottle,2017,"$3,284.60",33,340,$9.66,10.30,$0.00,27.70%,5.57%
Android Trace Mug Black,2018,"$3,280.09",149,391,$8.39,2.62,$0.00,30.24%,3.45%
Latitudes Foldaway Shopper,2015,"$3,279.30",70,684,$4.79,9.77,$0.00,21.75%,5.52%
Nest® Cam Indoor Security Camera - CA,2018,"$3,278.00",17,22,$149.00,1.29,$0.00,0.00%,0.00%
Mens Tech Shell Full-Zip,2015,"$3,269.45",56,65,$50.30,1.16,$0.00,6.29%,2.11%
NY City Lights T-Shirt,2015,"$3,254.45",61,177,$18.39,2.90,$0.00,9.67%,1.64%
Google Kick Ball,2016,"$3,232.19",139,"1,741",$1.86,12.53,$0.00,37.11%,16.07%
Google Light Pen Blue,2018,"$3,231.55",273,"1,265",$2.55,4.63,$0.00,42.18%,9.15%
Tri-Blend Leisure Shirt,2015,"$3,225.85",65,99,$32.58,1.52,$0.00,9.03%,1.81%
Google Thermal Bottle Red,2017,"$3,214.37",33,163,$19.72,4.94,$0.00,45.64%,16.92%
Google Women's Vintage Hero Tee Lavender,2017,"$3,205.53",211,327,$9.80,1.55,$0.00,67.61%,39.74%
Structured Linen Mesh Performance Cap,2016,"$3,202.30",131,371,$8.63,2.83,$0.00,22.06%,7.26%
Keyboard DOT Sticker,2017,"$3,198.60",188,"2,277",$1.40,12.11,$0.00,16.40%,3.20%
Ballpoint Pen Blue,2017,"$3,192.58",90,"3,542",$0.90,39.36,$0.00,74.85%,55.21%
Google Stylus Pen w/ LED Light,2016,"$3,186.70",89,622,$5.12,6.99,$0.00,33.56%,9.96%
Android Men's  Zip Hoodie,2017,"$3,179.03",77,87,$36.54,1.13,$0.00,16.44%,3.62%
Google Device Stand,2016,"$3,178.22",91,678,$4.69,7.45,$0.00,27.36%,14.82%
Google Luggage Tag,2017,"$3,174.18",109,493,$6.44,4.52,$0.00,55.20%,25.17%
The Fleece Full-Zip Hoodie,2015,"$3,162.15",26,70,$45.17,2.69,$0.00,5.54%,1.14%
Adult Android Superhero T-Shirt,2016,"$3,160.00",127,208,$15.19,1.64,$0.00,23.19%,6.90%
Soft-Touch Screen Cleaning Cloth,2016,"$3,136.75",123,"1,615",$1.94,13.13,$0.00,25.21%,9.40%
Android Rise 14 oz Mug,2016,"$3,127.66",132,274,$11.41,2.08,$0.00,52.73%,12.41%
Google Women's Quilted Insulated Vest Black,2017,"$3,119.52",45,48,$64.99,1.07,$0.00,29.65%,9.20%
BIC Super Media Clic,2016,"$3,109.75",75,"3,791",$0.82,50.55,$0.00,33.03%,8.57%
Android Small Removable Sticker Sheet,2018,"$3,084.18",246,"1,242",$2.48,5.05,$0.00,41.99%,8.70%
Google Men's Long Sleeve Raglan Ocean Blue,2016,"$3,083.62",115,138,$22.35,1.20,$0.00,38.90%,7.33%
YouTube Men's Short Sleeve Hero Tee Charcoal,2016,"$3,076.17",120,183,$16.81,1.52,$0.00,33.57%,7.16%
Colored Rubber Glass Bottle - Purple,2016,"$3,069.70",67,243,$12.63,3.63,$0.00,17.13%,6.59%
YouTube Spiral Journal with Pen,2017,"$3,039.80",33,440,$6.91,13.33,$0.00,26.94%,6.26%
Android Stretch Fit Hat,2017,"$3,017.28",39,200,$15.09,5.13,$0.00,60.82%,20.10%
Ladies Ringspun Crew Neck,2016,"$3,006.45",101,151,$19.91,1.50,$0.00,20.99%,7.79%
Google Women's Black Tee,2018,"$2,999.17",124,163,$18.40,1.31,$0.00,49.88%,9.68%
Google Tonal Tee Fog,2018,"$2,977.21",132,159,$18.72,1.20,$0.00,27.67%,2.30%
Google Tonal Tee Spearmint,2018,"$2,972.81",139,159,$18.70,1.14,$0.00,41.80%,3.92%
Android Matrix Tee White,2018,"$2,970.52",128,168,$17.68,1.31,$0.00,19.87%,4.21%
Compact Eco Journal - Red,2016,"$2,956.50",45,"1,095",$2.70,24.33,$0.00,24.57%,7.00%
Google Women's Vintage Hero Tee Black,2017,"$2,941.05",293,449,$6.55,1.53,$0.00,77.50%,36.22%
"15"" Android Squishable - Online",2015,"$2,924.00",45,80,$36.55,1.78,$0.00,18.61%,3.04%
Android World Cup Tee,2018,"$2,921.73",127,147,$19.88,1.16,$0.00,16.58%,3.01%
Google Youth Short Sleeve Tee White,2017,"$2,905.36",62,164,$17.72,2.65,$0.00,54.38%,12.92%
Google Emoji Sticker Pack,2018,"$2,870.18",185,682,$4.21,3.69,$0.00,41.46%,10.64%
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,2017,"$2,867.55",73,79,$36.30,1.08,$0.00,27.93%,7.18%
Google Vintage Henley Grey/Black,2017,"$2,861.43",104,117,$24.46,1.12,$0.00,26.76%,4.43%
Ladies Voyage Fleece Jacket,2015,"$2,840.20",55,59,$48.14,1.07,$0.00,14.38%,5.24%
22oz Tritan Bottle Infuser,2015,"$2,821.00",69,807,$3.50,11.70,$0.00,18.86%,3.58%
Google Heavyweight Long Sleeve Hero Tee Navy,2016,"$2,815.20",76,80,$35.19,1.05,$0.00,28.95%,6.21%
Google Tri Pen Black,2018,"$2,813.98",79,202,$13.93,2.56,$0.00,18.60%,3.11%
Google Wallet Stand Black,2018,"$2,812.32",115,848,$3.32,7.37,$0.00,19.81%,5.32%
Google Insulated Stainless Steel Bottle,2016,"$2,798.41",60,159,$17.60,2.65,$0.00,21.48%,5.00%
Android BTTF Moonshot Graphic Tee,2017,"$2,793.37",141,168,$16.63,1.19,$0.00,29.31%,23.62%
"Vintage Red Infant ""Player"" Bodysuit",2016,"$2,790.00",114,186,$15.00,1.63,$0.00,11.21%,4.38%
Ballpoint Pen Blue,2016,"$2,784.12",78,"3,008",$0.93,38.56,$0.00,54.70%,33.33%
Google Large Gift Bag,2015,"$2,781.40",86,"2,246",$1.24,26.12,$0.00,32.85%,11.44%
22 oz Android Bottle,2017,"$2,776.93",139,"1,007",$2.76,7.24,$0.00,47.53%,13.71%
G Logo White T-Shirt,2015,"$2,769.00",128,209,$13.25,1.63,$0.00,20.56%,5.08%
Anvil L/S Crew Neck - Grey,2015,"$2,768.95",118,124,$22.33,1.05,$0.00,16.00%,4.42%
Gmail Shortcut Stickers - Pack of 10,2016,"$2,762.70",65,279,$9.90,4.29,$0.00,6.77%,1.85%
Google 16 oz Glass Bottle Green,2018,"$2,762.30",48,170,$16.25,3.54,$0.00,26.59%,13.87%
24 oz USA Made Aluminum Bottle,2016,"$2,752.69",64,331,$8.32,5.17,$0.00,55.11%,9.91%
Wireless Mouse,2016,"$2,742.75",88,159,$17.25,1.81,$0.00,6.66%,1.44%
Leatherette Notebook Combo,2015,"$2,740.60",40,386,$7.10,9.65,$0.00,14.24%,2.24%
Windproof Auto Open Umbrella,2015,"$2,733.20",38,87,$31.42,2.29,$0.00,10.60%,2.22%
Compact Eco Journal - Red,2015,"$2,732.40",40,"1,012",$2.70,25.30,$0.00,22.16%,7.45%
Leather and Metal Ballpoint Pen,2017,"$2,718.64",35,224,$12.14,6.40,$0.00,28.51%,14.46%
Google Women's 1/4 Zip Jacket Charcoal,2017,"$2,716.80",44,47,$57.80,1.07,$0.00,32.75%,9.67%
"Courtside 21"" Duffel",2015,"$2,716.25",53,100,$27.16,1.89,$0.00,15.57%,2.86%
Google Zip Hoodie Black,2017,"$2,711.48",46,52,$52.14,1.13,$0.00,27.46%,3.93%
Google Lunch Bag,2016,"$2,708.25",61,215,$12.60,3.52,$0.00,25.16%,8.04%
Nest® Protect Smoke + CO White Wired Alarm - CA,2018,"$2,704.00",14,26,$104.00,1.86,$0.00,66.67%,466.67%
Go Gopher Blue Squishable,2016,"$2,698.90",116,149,$18.11,1.28,$0.00,15.77%,2.71%
Commuter Backpack,2015,"$2,682.90",49,115,$23.33,2.35,$0.00,8.56%,1.11%
Nest® Cam Outdoor Security Camera - CA,2018,"$2,682.00",11,18,$149.00,1.64,$0.00,0.00%,0.00%
BKR Bottle - Vacation Blue,2015,"$2,675.95",25,76,$35.21,3.04,$0.00,10.58%,1.99%
Compact Selfie Stick,2017,"$2,666.35",54,395,$6.75,7.31,$0.00,38.60%,13.99%
Lip Balm,2015,"$2,660.60",142,"2,826",$0.94,19.90,$0.00,35.55%,8.19%
Organic Cotton Infant Bodysuit,2016,"$2,654.35",116,153,$17.35,1.32,$0.00,34.04%,16.38%
Ladies Eco Alf Fiss Wool Jacket,2015,"$2,653.85",28,31,$85.61,1.11,$0.00,4.52%,1.06%
Nest® Protect Smoke + CO Black Wired Alarm-USA,2017,"$2,651.00",19,29,$91.41,1.53,$0.00,39.88%,5.83%
Suitcase Organizer Cubes,2017,"$2,649.24",58,176,$15.05,3.03,$0.00,15.12%,3.67%
Google Small Gift Bag - Mosaic Pattern,2016,"$2,648.80",40,"1,232",$2.15,30.80,$0.00,23.11%,9.73%
Google Men's Pullover Hoodie Grey,2016,"$2,641.04",52,56,$47.16,1.08,$0.00,26.36%,6.72%
Android Tone Hoodie Black,2017,"$2,639.50",44,50,$52.79,1.14,$0.00,21.22%,3.94%
