rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
11,Ford Motor,10,156776 ,3.30%,7602.00 ,65.40%,257808 ,44244 ,202000,James P. Hackett,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Dearborn,MI,42.3222599,-83.1763145
12,AmerisourceBergen,11,153144 ,4.30%,364.50 ,-74.50%,35317 ,18938 ,19500,Steven H. Collis,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Chesterbrook,PA,40.0756627,-75.4590816
13,Chevron,19,134533 ,25.10%,9195.00 ,-,253806 ,217845 ,51900,Michael K. Wirth,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,San Ramon,CA,37.7799273,-121.9780153
14,Cardinal Health,15,129976 ,6.90%,1288.00 ,-9.70%,40112 ,19726 ,40400,Michael C. Kaufmann,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,24,Dublin,OH,40.0992294,-83.11407709999999
15,Costco,16,129025 ,8.70%,2679.00 ,14.00%,36347 ,82687 ,182000,W. Craig Jelinek,"President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Issaquah,WA,47.5301011,-122.03261909999999
16,Verizon,14,126034 ,0.00%,30101.00 ,129.30%,257143 ,197497 ,155400,Lowell C. McAdam,Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,24,New York,NY,40.7127753,-74.0059728
17,Kroger,18,122662 ,6.40%,1907.00 ,-3.40%,37197 ,20828 ,449000,W. Rodney McMullen,Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Cincinnati,OH,39.103118200000004,-84.5120196
18,General Electric,13,122274 ,-3.50%,(5786.00),-165.50%,377945 ,117054 ,313000,John L. Flannery Jr.,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,Boston,MA,42.360082500000004,-71.0588801
19,Walgreens Boots Alliance,17,118214 ,0.70%,4078.00 ,-2.30%,66009 ,64924 ,290000,Stefano Pessina,Vice Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Deerfield,IL,42.171136499999996,-87.8445119
20,JPMorgan Chase,21,113899 ,8.00%,24441.00 ,-1.20%,2533600 ,375043 ,252539,James Dimon,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
21,Fannie Mae,20,112394 ,4.90%,2463.00 ,-80.00%,3345529 ,1633 ,7200,Timothy J. Mayopoulos,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,21,Leavenworth,WA,47.751074100000004,-120.7401385
22,Alphabet,27,110855 ,22.80%,12662.00 ,-35.00%,197295 ,719124 ,80110,Larry Page,Chief Executive Officer &  Director,Technology,Internet Services and Retailing,13,Mountain View,CA,37.3860517,-122.08385109999999
23,Home Depot,23,100904 ,6.70%,8630.00 ,8.50%,44529 ,206272 ,413000,Craig A. Menear,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Atlanta,GA,33.7489954,-84.3879824
24,Bank of America Corp.,26,100264 ,7.00%,18232.00 ,1.80%,2281234 ,306618 ,209376,Brian T. Moynihan,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,24,Charlotte,NC,35.2270869,-80.8431267
25,Express Scripts Holding,22,100065 ,-0.20%,4517.40 ,32.70%,54256 ,38791 ,26600,Timothy C. Wentworth,"President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,19,St. Louis,MO,38.6270025,-90.1994042
26,Wells Fargo,25,97741 ,3.80%,22183.00 ,1.10%,1951757 ,255556 ,262700,Timothy J. Sloan,"President, Chief Executive Officer &  Director",Financials,Commercial Banks,24,SF,CA,37.7749295,-122.4194155
27,Boeing,24,93392 ,-1.20%,8197.00 ,67.50%,92333 ,192539 ,140800,Dennis A. Muilenburg,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Chicago,IL,41.8781136,-87.62979820000001
28,Phillips 66,34,91568 ,26.50%,5106.00 ,228.40%,54371 ,44730 ,14600,Greg C. Garland,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,6,Houston,TX,29.7604267,-95.36980279999999
29,Anthem,29,90040 ,6.10%,3842.80 ,55.60%,70540 ,56182 ,56000,Gail K. Boudreaux,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Indianapolis,IN,39.768403,-86.158068
30,Microsoft,28,89950 ,5.40%,21204.00 ,26.20%,241086 ,702760 ,124000,Satya Nadella,Chief Executive Officer &  Director,Technology,Computer Software,24,Redmond,WA,47.6739881,-122.12151200000001
